script	glottocode	collected	source	omniglot	iso15924
Abaza	abaz1241	Anna Sorokina	Hewitt, G. (2004). Introduction to the Study of the Languages of the Caucasus. München: Lincom.	https://www.omniglot.com/writing/abaza.htm	Cyrl
Abkhaz	abkh1244	Anna Sorokina	Hewitt, G. (2004). Introduction to the Study of the Languages of the Caucasus. München: Lincom.	https://www.omniglot.com/writing/abkhaz.htm	Cyrl
Acehnese	achi1257	Irina Astafyeva	Durie, M. (1987). Grammatical relations in Acehnese. Studies in Language. International Journal sponsored by the Foundation: Foundations of Language, 11(2), 365-399.	https://www.omniglot.com/writing/acehnese.htm	Arab
Adyghe	adyg1241	Anna Sorokina	Hewitt, G. (2005). North West Caucasian. Lingua, 115(1–2), 91–145.	https://www.omniglot.com/writing/adyghe.htm	Cyrl
Afrikaans	afri1274	Anna Simonyan	McDermott, L. (2005). Teach Yourself Afrikaans. NTC Publishing Group.	https://www.omniglot.com/writing/afrikaans.htm	Latn
Aghul	aghu1253	Anna Sorokina	Магометов, А. А. (1967). Агульский язык. Языки народов СССР, Т.4: Кавказские языки. Москва, 562-579. Гасанова, С.Н. (2016) Говорим по-агульски.  Махачкала: Издательство ДГУ.	https://www.omniglot.com/writing/aghul.htm	Cyrl
Ahtna	ahte1237	Valeriia Kozenasheva	Siri G. Tuttle. 2010. Syllabic obstruents in Ahtna Athabaskan.	https://www.omniglot.com/writing/ahtna.htm	Latn
Ainu (Katakana)	ainu1252	Kanami Tobe	1994『アコㇿ イタㇰAKOR ITAK アイヌ語テキスト１』, Phonplogical change in Japanese-Ainu Loanwords, Edwin Everhart, 2009: 10-11	https://www.omniglot.com/writing/ainu.htm	Kana
Ainu (Latin)	ainu1252	Kanami Tobe	1994『アコㇿ イタㇰAKOR ITAK アイヌ語テキスト１』, Phonplogical change in Japanese-Ainu Loanwords, Edwin Everhart, 2009: 10-11	https://www.omniglot.com/writing/ainu.htm	Latn
Amharic	amha1245	Anna Verdieva	Leslau, W. (1995). Reference grammar of Amharic. Otto Harrassowitz Verlag.	https://www.omniglot.com/writing/amharic.htm	Ethi
Anutan	anut1237	Nikita Shennikov	Feinberg Richard, The Anutan Language Reconsidered: Lexicon and Grammar of a Polynesian Outlier, Volume 1, 1977	https://www.omniglot.com/writing/anutan.htm	Latn
